Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-05-29,45.61,45.61,45.24,45.32,,112.0,5089.0,,,
2017-05-26,44.8,45.36,44.71,45.3,,74453.0,3360707.0,,,
2017-05-25,44.8,44.87,44.29,44.78,,49970.0,2231857.0,,,
2017-05-24,43.92,44.67,43.92,44.53,,111923.0,4971343.0,,,
2017-05-23,43.67,44.13,43.55,43.9,,38308.0,1681904.0,,,
2017-05-22,44.16,44.22,43.44,43.84,,70856.0,3103013.0,,,
2017-05-19,43.74,44.12,43.74,44.12,,45.0,1980.0,,,
2017-05-18,44.0,44.3,43.29,43.98,,166160.0,7277314.0,,,
2017-05-17,45.06,45.34,44.01,44.19,,149515.0,6664744.0,,,
2017-05-16,45.15,45.36,44.56,45.31,,101476.0,4567885.0,,,
2017-05-15,45.09,45.78,44.31,45.14,,193702.0,8734286.0,,,
2017-05-12,45.18,45.18,44.16,44.99,,159495.0,7113519.0,,,
2017-05-11,43.4,46.06,43.25,45.0,,189125.0,8496322.0,,,
2017-05-10,43.5,43.6,42.53,43.28,,91858.0,3958630.0,,,
2017-05-09,41.83,43.55,41.82,43.3,,151439.0,6538516.0,,,
2017-05-08,43.0,43.0,42.04,42.24,,97456.0,4128048.0,,,
2017-05-05,42.52,42.91,42.38,42.75,,78512.0,3353971.0,,,
2017-05-04,41.86,42.5,41.71,42.5,,82058.0,3465505.0,,,
2017-05-03,42.2,42.29,41.78,41.9,,65266.0,2738394.0,,,
2017-05-02,41.89,42.23,41.76,42.15,,86559.0,3636583.0,,,
2017-05-01,,42.245,41.655,41.72,-0.44,86348.0,3606589.0,,,
2017-04-28,42.17,42.25,41.66,41.72,,86348.0,3606589.0,,,
2017-04-27,41.51,42.24,41.51,42.16,,151683.0,6380639.0,,,
2017-04-26,41.88,41.94,41.4,41.5,,65847.0,2743109.0,,,
2017-04-25,41.93,42.18,41.66,41.89,,85973.0,3604204.0,,,
2017-04-24,42.01,42.02,41.23,41.81,,102084.0,4247032.0,,,
2017-04-21,41.97,42.14,41.01,41.32,,186784.0,7728103.0,,,
2017-04-20,42.5,42.64,41.52,41.93,,223621.0,9418192.0,,,
2017-04-19,41.94,42.61,41.94,42.61,,92722.0,3930856.0,,,
2017-04-18,42.24,42.4,41.54,42.0,,133057.0,5587565.0,,,
2017-04-17,,42.48,41.985,42.2,,88416.0,3734717.0,,,
2017-04-14,,42.48,41.985,42.2,,88416.0,3734717.0,,,
2017-04-13,42.06,42.48,41.99,42.2,,88416.0,3734717.0,,,
2017-04-12,42.02,42.45,41.84,42.2,,158278.0,6672547.0,,,
2017-04-11,41.62,42.03,41.53,41.75,,107817.0,4501109.0,,,
2017-04-10,41.46,41.68,41.31,41.68,,62297.0,2585922.0,,,
2017-04-07,40.9,41.42,40.84,41.42,,81255.0,3344628.0,,,
2017-04-06,40.96,41.25,40.83,41.05,,96794.0,3968681.0,,,
2017-04-05,41.1,41.34,40.79,41.1,,156005.0,6404780.0,,,
2017-04-04,39.5,40.88,39.48,40.81,,193156.0,7822665.0,,,
2017-04-03,40.15,40.15,39.54,39.64,,127973.0,5081376.0,,,
2017-03-31,39.77,40.07,39.42,39.98,,95382.0,3795061.0,,,
2017-03-30,40.02,40.14,39.42,39.75,,189201.0,7541354.0,,,
2017-03-29,39.39,40.01,39.05,40.01,,335406.0,13349426.0,,,
2017-03-28,38.95,39.35,38.79,39.22,,115075.0,4505494.0,,,
2017-03-27,38.73,39.1,38.53,38.85,,191515.0,7446952.0,,,
2017-03-24,38.94,39.02,38.6,38.94,,210926.0,8205507.0,,,
2017-03-23,39.01,39.25,38.63,38.96,,169971.0,6621807.0,,,
2017-03-22,38.25,39.02,37.53,38.94,,670349.0,25910543.0,,,
2017-03-21,41.8,41.83,40.97,40.98,,56906.0,2349965.0,,,
2017-03-20,41.26,42.17,41.26,41.97,,97572.0,4074891.0,,,
2017-03-17,41.47,41.59,41.16,41.34,,90109.0,3734232.0,,,
2017-03-16,41.4,41.57,41.09,41.46,,55799.0,2308423.0,,,
2017-03-15,41.4,41.5,40.91,41.25,,60324.0,2488650.0,,,
2017-03-14,41.2,41.5,41.2,41.3,,60420.0,2498025.0,,,
2017-03-13,41.4,41.46,41.08,41.3,,44803.0,1850251.0,,,
2017-03-10,41.53,41.53,41.16,41.4,,38518.0,1592270.0,,,
2017-03-09,41.61,41.61,41.16,41.4,,43988.0,1819182.0,,,
2017-03-08,41.13,41.71,40.95,41.68,,45111.0,1870935.0,,,
2017-03-07,41.5,41.8,41.25,41.42,,61925.0,2569608.0,,,
2017-03-06,41.25,41.4,40.81,41.4,,46510.0,1916799.0,,,
2017-03-03,41.12,41.22,40.84,41.18,,40800.0,1675587.0,,,
2017-03-02,41.38,41.39,40.76,41.17,,49863.0,2048153.0,,,
2017-03-01,41.19,41.57,40.9,41.2,,86753.0,3569796.0,,,
2017-02-28,40.38,40.95,40.38,40.84,,67440.0,2747011.0,,,
2017-02-27,39.75,40.64,39.75,40.39,,62655.0,2520260.0,,,
2017-02-24,39.77,40.14,38.91,39.74,,101294.0,4015150.0,,,
2017-02-23,39.72,39.98,39.38,39.79,,81945.0,3260642.0,,,
2017-02-22,39.6,39.75,39.27,39.7,,77619.0,3066894.0,,,
2017-02-21,38.85,39.57,38.85,39.45,,46070.0,1808350.0,,,
2017-02-20,39.25,39.25,38.81,38.98,,37014.0,1444138.0,,,
2017-02-17,38.8,39.03,38.48,39.02,,60583.0,2352961.0,,,
2017-02-16,38.8,39.2,38.25,38.71,,84682.0,3282322.0,,,
2017-02-15,38.5,38.93,38.4,38.72,,77420.0,2996861.0,,,
2017-02-14,38.81,38.86,38.0,38.37,,82601.0,3163898.0,,,
2017-02-13,37.37,39.36,37.35,38.53,,177171.0,6804028.0,,,
2017-02-10,36.65,37.5,36.57,37.06,,115843.0,4291017.0,,,
2017-02-09,36.2,36.25,35.77,36.25,,67781.0,2445428.0,,,
2017-02-08,35.98,36.14,35.84,36.05,,39731.0,1431205.0,,,
2017-02-07,35.56,36.05,35.36,35.89,,67410.0,2410818.0,,,
2017-02-06,36.06,36.15,35.6,35.64,,41911.0,1496794.0,,,
2017-02-03,36.02,36.2,35.73,36.1,,40705.0,1464712.0,,,
2017-02-02,35.95,36.2,35.7,36.07,,54279.0,1953176.0,,,
2017-02-01,34.75,36.0,34.75,35.94,,85137.0,3038172.0,,,
2017-01-31,35.24,35.24,34.56,34.56,,63371.0,2199583.0,,,
2017-01-30,35.38,35.59,34.95,35.15,,69603.0,2457762.0,,,
2017-01-27,34.83,35.43,34.81,35.3,,69657.0,2444913.0,,,
2017-01-26,35.07,35.58,34.8,34.89,,64103.0,2249375.0,,,
2017-01-25,34.42,34.86,34.03,34.83,,56240.0,1947147.0,,,
2017-01-24,34.0,34.35,33.85,34.22,,48797.0,1666086.0,,,
2017-01-23,34.04,34.12,33.62,34.06,,55333.0,1877957.0,,,
2017-01-20,34.54,34.59,34.05,34.17,,80246.0,2743474.0,,,
2017-01-19,35.04,35.04,34.42,34.5,,73105.0,2526731.0,,,
2017-01-18,35.04,35.51,34.8,34.9,,65931.0,2311608.0,,,
2017-01-17,35.06,35.19,34.79,34.99,,39195.0,1369857.0,,,
2017-01-16,34.85,35.24,34.56,35.07,,47879.0,1678679.0,,,
2017-01-13,34.98,34.98,34.6,34.85,,59367.0,2065534.0,,,
2017-01-12,35.38,35.38,34.31,34.9,,163860.0,5703427.0,,,
2017-01-11,34.95,36.0,34.84,35.42,,123530.0,4369079.0,,,
2017-01-10,34.8,34.98,34.46,34.91,,43976.0,1528055.0,,,
2017-01-09,35.29,35.35,34.43,34.67,,62225.0,2157182.0,,,
2017-01-06,34.91,35.21,34.91,35.04,,27507.0,964046.0,,,
2017-01-05,35.02,35.2,34.73,35.06,,48412.0,1692326.0,,,
2017-01-04,35.48,35.51,34.75,35.19,,54408.0,1906810.0,,,
2017-01-03,35.9,35.93,35.34,35.48,,70618.0,2515473.0,,,
2017-01-02,34.99,35.94,34.99,35.8,,44700.0,1590561.0,,,
